Unnamed: 0,French,English
0,partie,part
1,histoire,history
4,police,police
5,pensais,thought
7,mois,month
11,mettre,to put
13,laisse,leash
16,chaque,each
17,parlé,speak
19,longtemps,long time
20,vont,will
21,pendant,while
23,aucune,any
25,compris,understood
27,étaient,were
30,pourrais,could
31,affaire,case
34,donné,given
35,train,train
37,endroit,place
38,yeux,eyes
39,façon,way
43,perdu,lost
46,côté,side
47,vieux,old
51,tellement,so much
52,enfant,child
55,pardon,sorry
57,devant,in front of
60,demandé,request
61,mis,placed
64,eau,water
66,nouvelle,new
67,arrêter,Stop
68,dirait,would say
69,terre,Earth
74,chérie,sweetheart
75,plutôt,rather
76,aura,will have
78,bureau,office
